sample num,Active/Inactive 1,aureus MRSA43300 (target),Active/Inactive 2,aureus ATCC25923 (target),'SpMax2_Bh(m)','SM6_B(m)','VE1_A','SM02_AEA(ri)','MATS4i','H_D/Dt','CATS3D_13_AL','IC4','SpMax8_Bh(m)','D/Dtr05','SpMin1_Bh(p)','SM13_AEA(ri)','CIC2','Chi_Dz(Z)','MATS2i','AVS_B(m)','H%','CIC3','P_VSA_LogP_5','BLI','VE1_B(m)','DP16','MATS3s','SdssC','CATS3D_09_AA','VE2sign_Dt','GATS5i','GATS6p','SpMax_EA(bo)','MaxssO','SpMAD_EA(ri)','ATS8s','SpPosA_B(m)','P_VSA_ppp_L','PBF','MATS3i','CATS3D_06_AL','rGes','JGI5','ChiA_B(i)','MATS8m','Eig05_EA(ri)','ATSC2m','VE2sign_Dz(i)','Eta_L_A','Eig05_AEA(ed)','H_Dz(m)','SM5_B(m)','SP16','ATSC1p','SM1_Dz(m)','VE1_Dz(i)','MATS4m','CIC4','Eig06_AEA(ri)','DP11','Mp','SpMAD_EA(dm)','X3A','minssO','Eta_B_A','ATSC1s','MATS6m','SpMin2_Bh(p)','PW2','ATS4i','X3sol','SM05_EA','ChiA_B(s)','SpDiam_EA(bo)','H_Dz(Z)','IC1','J_D','ATSC7m','BIC2','IVDE','VE1sign_Dz(Z)','P_VSA_MR_2','mindsCH','MATS8p','VE2_D/Dt','PW3','SHED_DL','CATS3D_11_AL','SpMin3_Bh(s)','SpMax2_Bh(s)','MATS3p'
1,0,33,0,33,6.531643741,16.63115944,3.483141923,2.449489743,-0.074678103,701.1,0,3.753434386,2.841405776,29.1981574,1.998886405,3.135816438,1.393555357,1.017734758,-0.175525711,4.799278356,28.57142857,1.053920536,0,2.439163071,3.346157227,1.859389287,0.132457844,1.128647119,0,0.023953058,0.862061132,0.148409006,5.60198665,0,1.507716596,1.386294361,2.380370705,56.85748484,0.476303684,0.165519434,6,0.5,0.029074074,0.249769778,0.233570661,1.284476196,63.42951535,0.008071231,0.224064861,5.236067977,526.0328329,13.86837676,2.102234679,8.06040905,1.339988608,4.216689367,-0.130689253,1.053920536,2.178493809,4.889186749,0.925125,0.109090909,0.15389405,0,0.033600414,10.89105961,0.033954403,1.840714903,0.605959873,4.526864468,25.63330646,8.345455428,0.193053893,8.541203556,443.4543822,2.842370993,2.197312943,19.93978368,0.633085795,1.619240705,0,0,1.506545782,0.332295194,0.156336056,0.438137101,0,0,0.775856279,7.649904505,-0.030072367
2,0,33.4,0,34,6.531646998,16.63131982,3.737978711,4.649756304,0.004840453,1120.97619,0,3.391243564,3.003669051,45.51051171,2.055794804,3.71149091,2.386119231,0.481433798,0.087869658,4.340913111,46.15384615,2.309196155,6.371149901,2.120856306,4.083330247,6.296072594,0.158547909,3.222413181,0,0.006295061,0.903721736,1.032525752,5.60299631,0,1.568990575,6.356108702,2.06135571,97.22736537,0.523763065,-0.058863272,12,0.428571429,0.049234568,0.251310926,-0.092991157,2.1430463,32.9882584,0,0.27928008,6.770480646,582.2758274,13.86908424,6.554406556,12.631886,1.339988608,4.099823996,-0.017714977,2.309196155,2.601410486,8.205065628,0.769128846,0.08,0.155811519,0,0.052202316,21.80423157,0.018749552,1.970660194,0.638185624,5.479507258,28.24325636,8.511376306,0.19973815,8.550837834,499.5861966,3.131440198,2.104710504,243.5537639,0.548329646,1.976698459,0,0,1.615023201,-0.14740295,0.142863699,0.399181909,0,0,1.23036637,7.649904505,-0.042250811
3,0,34.5,0,38,6.531644563,16.63134592,3.651102972,2.979890042,-0.12591665,1012.58254,0,4.043057694,3.003669051,41.30538351,2.016238626,3.595472307,1.162052206,0.566778092,-0.096420344,4.539585433,23.52941176,1.044405147,6.371149901,2.042574101,3.911276813,6.059220697,0.019928936,-3.046268267,0,0.010015282,0.753269595,1.086033589,5.602965696,0,1.532184882,6.554646825,2.180146317,44.2761398,0.375177281,0.10122399,10,0.5,0.046761518,0.248443456,0.000657867,1.968364585,54.64049784,0,0.212119634,5.92109345,576.0224658,13.86919867,6.324566825,9.500130926,1.572068285,3.914112813,-0.124067488,1.044405147,2.401615671,7.970282347,0.874161765,0.290951829,0.15773612,0,0.040882591,51.94046193,0.02696402,1.877058233,0.617771331,4.763924935,27.76050616,8.400884069,0.185299417,8.551580918,493.3578095,3.64571137,2.091906082,57.17217607,0.695519252,1.757004141,0,135.6565404,1.079853133,0.053292835,0.148279068,0.413478243,4.710650674,0,0.811366315,7.649904505,-0.035905145
4,0,46,0,50,6.531647683,16.63130685,3.69619392,3.982495394,-0.089803595,1214.772006,0,3.79790269,3.03987837,50.58010878,2.043579497,3.498272945,2.080880804,0.426007632,-0.030292025,4.252952237,46.42857143,2.009452232,6.248627788,2.085854516,3.919586237,7.02962859,0.22983694,3.01771248,2,0.004496905,0.97463363,0.62722139,5.602908339,0,1.441418537,6.114174979,2.000922582,73.20580694,0.510118479,0.344928512,8,0.433333333,0.041394558,0.263680189,-0.273675276,2.002023174,36.34774977,0,0.277006391,6.104964039,598.3081759,13.86908413,7.319931739,13.18675299,1.412108296,4.311269553,-0.071727152,2.009452232,2.517558972,8.666215119,0.750108929,0.175,0.161234094,0,0.030364272,23.0118314,0.05038852,1.954623803,0.591274836,5.248820188,29.30573099,8.409830673,0.209288098,8.550446239,515.5990834,3.209888638,2.038012483,123.0270288,0.607978798,1.703366718,0,141.253224,1.608467078,-0.346384077,0.137713186,0.420776586,0,0,1.139963665,7.649904505,0.070181586
5,0,41,0,48,6.531644791,16.63124231,3.598575664,2.659910647,-0.120485848,909.0777778,0,3.86382639,3.003669051,37.1002553,2.005752816,3.407872089,1.417209722,0.66952808,0.022985912,4.550581963,33.33333333,1.306098611,0,2.184612453,3.631975905,5.318699142,0.096046032,1.803678298,2,0.014190003,0.894848709,0.512356863,5.602854019,5.203109778,1.456570216,5.33994,2.208437523,37.90498989,0.510113661,0.169025824,4,0.5,0.045435435,0.254710053,-0.041848098,1.759471146,40.40494701,0,0.230106005,5.350517911,558.1320678,13.86875538,5.635729287,10.0526679,1.462746013,3.734243017,-0.117804048,1.306098611,2.327648436,7.374721267,0.842647222,0.224615385,0.158259449,5.203109778,0.033679374,13.34137014,0.024398406,1.860692381,0.602188783,4.751884971,27.16567138,8.373553741,0.193609657,8.549334576,475.4890308,3.488554862,2.107383917,120.3781655,0.664920429,1.706908425,0,0,1.428479833,-0.080965422,0.153231122,0.424395456,0,0,0.774917052,7.649904505,-0.018389548
6,0,43.2,0,45,6.879840951,16.63743009,3.613719058,2.856587046,-0.100219818,820.3714286,0,4.518397117,2.92884267,32.23275613,2.004965936,3.35030442,1.065146774,0.872147419,-0.204703011,4.905289414,29.03225806,0.564831452,0,2.443778638,3.475531815,3.172267172,0.129526547,1.715887346,0,0.019020123,0.889195632,0.197699398,5.608530557,0,1.469209035,2.602689685,2.526496951,102.8115784,0.438151851,0.24630034,8,0.818181818,0.029650997,0.253366288,0.011486036,1.309704947,103.4524776,0.002910349,0.267586697,5.236067977,551.2619841,13.8828184,3.47097524,7.954096841,1.54088066,4.234243583,-0.084827365,0.435799194,2.274835351,5.791667379,0.93603871,0.19049105,0.152183754,0,0.032878176,13.05952014,0.019113048,1.854359341,0.600606969,4.646468554,26.64548118,8.364275085,0.196520699,8.549719398,467.6478289,3.319646812,2.23452745,56.17511568,0.708148865,1.674293948,0.295446526,0,1.518461882,0.169210219,0.149914401,0.43602443,0,0,0.854194052,7.649904505,0.007469106
7,0,51.8,0,50,6.531620331,16.63154776,3.819956225,5.807758396,-0.059004606,1962.947419,0,4.29366069,3.003669051,46.50952766,2.123637486,3.911175555,2.0309775,0.41545769,-0.1183219,4.444927351,32,1.5705865,24.62694481,1.752762563,4.450880339,8.570690913,0.186089914,1.831779835,0,0,0.95700947,0.714006268,5.586070761,0,1.528279176,6.07005574,1.966380498,151.7809143,0.518640592,0.090590691,15,0.441176471,0.031118936,0.250226002,-0.135644217,2.237856565,24.02841499,0,0.205190534,6.3550161,653.7752152,13.87011994,8.931707248,10.1109656,1.339988608,4.440176098,-0.048471358,1.3501955,2.909680362,9.831530262,0.858982,0.061538462,0.153284754,0,0.02883878,14.51825302,0.006595089,1.999532535,0.60133494,5.128129144,31.81018378,8.453401058,0.198968701,8.586070761,570.8656268,2.95326969,1.422915956,98.15243397,0.581835224,1.501289203,0,0,1.614644799,-0.145327984,0.129752541,0.406321787,0,4,1.117359462,7.649904505,-0.016889076
8,0,58.4,0,56,6.531617297,16.63129524,3.634594297,3.940010149,-0.023202504,1146.857143,0,3.952819531,2.962050135,29.45940726,2.089830127,3.616285747,1.047180469,0.763985083,-0.126090555,4.677168831,25,1.047180469,11.88464501,2.101306635,3.698543169,3.828773875,0.043840421,-0.209648526,2,0.01459239,0.887186243,0.683420385,5.585826785,0,1.524152506,4.304065093,2.236630003,44.2761398,0.423439719,0.065539567,6,0.5,0.04621447,0.245128076,0.077249547,1.756566391,56.37309264,0.009113021,0.217244539,6.092455493,567.7923302,13.8689737,4.216375758,8.981637848,1.462746013,4.333548584,-0.07940877,1.047180469,2.688813462,6.30262837,0.900390625,0.088888889,0.150388734,0,0.039728243,28.92711894,-0.048787449,1.814322537,0.624411006,4.755218617,27.90546012,8.414274137,0.188195472,8.585826785,484.9934324,3.655639062,1.95408537,32.55438328,0.707761159,1.75,1.002357622,85.36668632,1.255376092,0.25388174,0.150373685,0.439517895,5.742347492,0,0.691935594,7.649904505,-0.038962396
9,0,49,0,42,6.531644014,16.63123198,3.54187403,2.541661746,-0.129434895,802.0809524,0,4.589898095,2.910975086,33.14920635,2.00208968,3.333283478,0.970647183,0.794653768,-0.156738835,4.71489403,26.66666667,0.450325833,3.185574951,2.292069324,3.583187436,5.382947888,0.111428193,1.494248971,0,0.01814439,0.843972536,0.336268365,5.602456378,0,1.500593367,4.793722293,2.299829037,90.91863239,0.436108117,0.154884465,7,0.818181818,0.039401042,0.248584229,0.032823624,1.41930209,57.62912474,0.002892871,0.217985747,5.266707406,542.5792155,13.86869929,5.687837762,7.980238224,1.339988608,4.084692044,-0.127304873,0.3169925,2.216497652,7.167078408,0.930116667,0.1,0.156211069,0,0.033643483,13.61796015,0.022441163,1.848773787,0.603902915,4.590790513,26.39948892,8.359603271,0.191048717,8.548947066,459.963713,3.347860598,2.133004735,39.98761842,0.712627729,1.674293948,0.803458171,0,1.432332819,0.004687824,0.156157813,0.430641658,0,0,0.780736772,7.649904505,-0.041144168
10,0,36,0,38,6.531644618,16.63139306,3.737978711,4.649756304,-0.037868617,1120.97619,0,3.763358429,3.003669051,45.51051171,2.023116538,3.71149091,1.441751471,0.500894776,0.304015741,4.465627397,17.64705882,1.324104412,96.13182953,1.934245648,3.956351376,6.09636239,0.052117446,-3.780086819,0,0.006295061,0.578246439,1.63329024,5.60299631,0,1.47776063,7.103733162,2.168058858,44.2761398,0.501088337,0.001456592,6,0.428571429,0.049234568,0.244876983,0.013674619,2.036571762,73.17830726,0,0.226386905,6.770480646,593.4456786,13.86940179,6.337286258,9.68518478,1.796149818,4.11693672,-0.130743957,1.324104412,2.541744449,8.07779343,0.85445,0.590036715,0.155811519,0,0.052202316,129.4481045,0.045691384,1.888248248,0.638185624,4.882843655,26.31814401,8.511376306,0.17986534,8.550837834,509.4065222,3.366012106,2.104710504,16.30750095,0.652772757,1.976698459,0,89.76067963,0.42867158,0.149555477,0.142863699,0.399181909,0,0,0.838389201,8.509115714,-0.039924529
