No.,NAME,Active/Inactive 1,Active/Inactive 2,'SpMax2_Bh(m)','SM6_B(m)','VE1_A','SM02_AEA(ri)','MATS4i','H_D/Dt','CATS3D_13_AL','IC4','SpMax8_Bh(m)','D/Dtr05','SpMin1_Bh(p)','SM13_AEA(ri)','CIC2','Chi_Dz(Z)','MATS2i','AVS_B(m)','H%','CIC3','P_VSA_LogP_5','BLI','VE1_B(m)','DP16','MATS3s','SdssC','CATS3D_09_AA','VE2sign_Dt','GATS5i','GATS6p','SpMax_EA(bo)','MaxssO','SpMAD_EA(ri)','ATS8s','SpPosA_B(m)','P_VSA_ppp_L','PBF','MATS3i','CATS3D_06_AL','rGes','JGI5','ChiA_B(i)','MATS8m','Eig05_EA(ri)','ATSC2m','VE2sign_Dz(i)','Eta_L_A','Eig05_AEA(ed)','H_Dz(m)','SM5_B(m)','SP16','ATSC1p','SM1_Dz(m)','VE1_Dz(i)','MATS4m','CIC4','Eig06_AEA(ri)','DP11','Mp','SpMAD_EA(dm)','X3A','minssO','Eta_B_A','ATSC1s','MATS6m','SpMin2_Bh(p)','PW2','ATS4i','X3sol','SM05_EA','ChiA_B(s)','SpDiam_EA(bo)','H_Dz(Z)','IC1','J_D','ATSC7m','BIC2','IVDE','VE1sign_Dz(Z)','P_VSA_MR_2','mindsCH','MATS8p','VE2_D/Dt','PW3','SHED_DL','CATS3D_11_AL','SpMin3_Bh(s)','SpMax2_Bh(s)','MATS3p'
1,"bis-4,5 ",1,1,4.106392282,16.60513882,4.842799787,8.852892494,-0.011058884,5516.546212,0,5.248258144,3.632090357,216.700911,2.184431007,4.017933737,1.975164412,0.304094322,0.069074627,4.068950659,43.68932039,1.609209767,28.92394508,1.248241415,4.822960113,10.91107271,0.163197753,5.893622554,0,0.015081884,1.003379078,2.046943853,5.703168665,0,1.561060995,7.377968431,1.635973696,258.5065723,4.711336116,-0.108180253,54,0.551724138,0.027308368,0.252697766,-0.057181887,2.916988571,72.62717883,0.00069899,0.260791291,7.05169299,847.6579262,13.84312724,10.95954987,13.34928991,1.365096261,7.165559339,0.002035071,1.438242383,3.726578613,11.59028258,0.745097087,0.129528944,0.145216238,0,0.034442654,32.37219025,-0.05392125,2.156044038,0.617217122,6.170541337,40.90437089,8.829226355,0.207898581,8.703168665,795.7055304,3.651546306,1.061512909,325.2162425,0.664742267,1.747300386,0.222544359,0.0,1.705750688,-0.060131095,0.080984087,0.413046012,0.0,4,1.585205938,7.649904505,-0.052217196
2,"bis-5,6 ",1,1,4.092642678,11.16250221,4.992512239,8.78934877,0.000784436,5636.623832,0,5.248258144,3.587343446,213.4630127,2.187206184,4.053702531,1.975164412,0.298836474,0.027173672,3.880505832,43.68932039,1.609209767,22.55279518,1.056643737,4.826177755,10.42671768,0.155347587,5.094710048,0,0.015522749,1.090232995,1.381491904,5.714578138,0,1.559300077,7.271802552,1.451434093,271.0879173,4.711336116,-0.038610977,55,0.551724138,0.022539457,0.25288839,-0.07425684,2.904920331,51.42153153,0.000241589,0.255333418,7.22407198,639.0338984,9.586065593,10.57877096,13.20823571,1.324950731,7.208102801,0.041779415,1.438242383,3.783208085,11.21121497,0.743441748,0.140998607,0.143004998,0,0.033862076,31.70570206,-0.083025295,2.163219532,0.615250411,6.158895296,34.1727145,8.835064935,0.207752684,8.714578138,627.1025775,3.690381257,1.093374503,151.5425052,0.664742267,1.747300386,0.267487408,47.08440799,1.723710554,-0.044673917,0.081189746,0.414540281,0.0,4,1.506475073,7.649904505,0.01765386
3,JH-15_a_ctz,1,1,4.094924925,16.60496584,4.44514675,7.668072653,-0.004671086,3640.116561,0,5.581739284,3.493488503,207.8268717,2.172208964,3.979671592,1.650373946,0.331421377,0.028958221,4.114924279,40.69767442,1.049288732,22.55279518,1.272294821,4.434319642,9.749961387,0.158066455,3.391559879,0,0.016441576,0.997246999,1.427864913,5.701976441,0,1.532015795,7.08404174,1.682828162,248.3684453,4.775890808,-0.06253417,42,0.725490196,0.023844924,0.25352496,-0.055630111,2.557090249,53.12964174,0.001700008,0.232682282,6.949822468,762.6888623,13.84238206,9.904233309,11.29242813,1.365096261,6.661175434,-0.026320425,0.844525471,3.510278925,10.59898232,0.76672093,0.149287597,0.146166751,0,0.029787855,27.18906391,-0.03350554,2.088253397,0.604781003,5.922694483,36.88843416,8.717845705,0.205466918,8.701976441,710.9985326,3.619474128,1.174194756,244.4729654,0.695143708,1.644608053,0.272842891,0.0,1.639631979,-0.054388958,0.123504662,0.410893243,0.0,4,1.30630234,7.649904505,-0.043954938
4,JH-15_b_ctz = 2b ,1,1,4.094924925,16.60496584,4.44514675,7.668072653,-0.004671086,3640.116561,0,5.581739284,3.493488503,207.8268717,2.172208964,3.979671592,1.650373946,0.331421377,0.028958221,4.114924279,40.69767442,1.049288732,22.55279518,1.272294821,4.434319642,10.3112976,0.158066455,3.391559879,0,0.016441576,0.997246999,1.427864913,5.701976441,0,1.532015795,7.08404174,1.682828162,248.3684453,4.775890808,-0.06253417,42,0.725490196,0.023844924,0.25352496,-0.055630111,2.557090249,53.12964174,0.001700008,0.232682282,6.949822468,762.6888623,13.84238206,10.31453325,11.29242813,1.365096261,6.661175434,-0.026320425,0.844525471,3.510278925,11.05648261,0.76672093,0.149287597,0.146166751,0,0.029787855,27.18906391,-0.03350554,2.088253397,0.604781003,5.922694483,36.88843416,8.717845705,0.205466918,8.701976441,710.9985326,3.619474128,1.174194756,244.4729654,0.695143708,1.644608053,0.272842891,0.0,1.639631979,-0.054388958,0.123504662,0.410893243,0.0,3,1.30630234,7.649904505,-0.043954938
5,JH-017_a_ctz = 3a ,1,1,4.095189255,16.6049585,4.541859558,7.551178451,0.001009725,3683.93996,0,5.581739284,3.497308265,205.7605333,2.177088179,4.040908054,1.57606744,0.337807675,0.00274677,4.114924279,40.69767442,1.049288732,19.36722023,1.272806657,4.467384805,10.46352237,0.154026416,3.022595524,0,0.01659406,1.042583529,1.097117581,5.69370005,0,1.53097461,7.006370884,1.680876534,254.6591179,4.850197314,-0.021918652,44,0.745098039,0.021054805,0.253610297,-0.049476821,2.569213331,53.03111324,0.000854689,0.232621482,6.993116728,768.7837231,13.84237657,10.60681226,11.29242813,1.365096261,6.693781401,-0.049399615,0.844525471,3.510701719,11.1435326,0.76672093,0.155897233,0.144849211,0,0.029457722,27.18906391,-0.016576099,2.088251668,0.603662677,5.915989056,36.77922485,8.721113148,0.20549143,8.69370005,716.951846,3.693780634,1.196102232,239.0799335,0.705959219,1.644608053,0.383028907,23.54220399,1.650579635,-0.042009461,0.130652497,0.411748532,0.0,3,1.306317883,7.649904505,-0.005512611
6,JH-017_b_ctz = 3b ,1,1,4.095189255,16.6049585,4.541859558,7.551178451,0.001009725,3683.93996,0,5.581739284,3.497308265,205.7605333,2.177088179,4.040908054,1.57606744,0.337807675,0.00274677,4.114924279,40.69767442,1.049288732,19.36722023,1.272806657,4.467384805,10.1186305,0.154026416,3.022595524,0,0.01659406,1.042583529,1.097117581,5.69370005,0,1.53097461,7.006370884,1.680876534,254.6591179,4.850197314,-0.021918652,47,0.745098039,0.021054805,0.253610297,-0.049476821,2.569213331,53.03111324,0.000854689,0.232621482,6.993116728,768.7837231,13.84237657,10.19232291,11.29242813,1.365096261,6.693781401,-0.049399615,0.844525471,3.510701719,10.95173624,0.76672093,0.155897233,0.144849211,0,0.029457722,27.18906391,-0.016576099,2.088251668,0.603662677,5.915989056,36.77922485,8.721113148,0.20549143,8.69370005,716.951846,3.693780634,1.196102232,239.0799335,0.705959219,1.644608053,0.383028907,23.54220399,1.650579635,-0.042009461,0.130652497,0.411748532,0.0,3,1.306317883,7.649904505,-0.005512611
7,Biq_AcN,0,0,3.988014639,16.60436604,4.101349969,4.170057032,-0.072928088,2241.490476,0,4.463749485,3.003669051,34.28303235,2.088447403,3.988512894,1.561436945,0.649877025,-0.125656458,4.33887975,33.33333333,1.1169925,11.88464501,1.477752743,4.337085558,6.377775913,0.156811108,1.005458344,0,0.017028156,1.104929416,0.438204107,5.690997246,0,1.506919554,5.355014285,1.873631126,128.9113238,3.930416152,0.215235125,22,0.5,0.025138889,0.249845096,0.042253487,1.81884333,20.18349487,0.0,0.188193372,5.94603622,541.5271273,13.83972532,6.679299449,7.324364223,1.135297739,4.161301011,-0.145499473,1.028103611,2.658931203,8.06764283,0.832453333,0.206367417,0.144935911,0,0.026338272,13.26406578,-0.03221509,2.019862769,0.591349206,5.032181612,26.00503304,8.440528106,0.196681459,8.690997246,490.2539988,3.329981707,1.754024326,12.98206934,0.64793247,1.523994986,0.0,0.0,1.776759259,0.025186798,0.135176123,0.419650168,0.0,0,1.061602925,7.649904505,0.093872907
8,Biq_Br,0,0,6.531643762,16.63140341,4.031683459,4.170057032,0.042532187,2070.87381,0,4.28418372,3.003669051,30.33280866,2.088447403,3.988512894,1.637744375,0.646320783,-0.225640189,4.574235391,30.0,1.137744375,11.88464501,1.942193357,4.337085558,6.442657378,0.149791314,1.121893529,0,0.014266961,1.135928135,0.543472446,5.61984736,0,1.528375885,4.932075375,2.095685504,120.0861196,3.68418372,0.174986636,21,0.5,0.027993367,0.24868086,0.058613806,1.81884333,32.84853007,0.0,0.210026388,5.94603622,609.3211616,13.86942551,6.775094231,9.126197025,1.339988608,4.161301011,-0.105206686,1.037744375,2.65415776,8.117459028,0.8856575,0.075,0.149646947,0,0.031345778,11.73362665,-0.06804365,2.018027883,0.605625327,4.913301996,28.85683662,8.418697945,0.196668986,8.61984736,526.358782,3.00869497,1.708174706,31.83838287,0.62370949,1.571520674,0.0,0.0,1.800648148,0.053729505,0.144831561,0.418430023,0.0,0,1.060240651,7.649904505,0.054980479
9,Biq_Cl,0,0,3.988540047,16.61332416,4.031683459,4.170057032,0.018325742,2070.87381,0,4.28418372,2.981926244,30.33280866,2.088447403,3.988512894,1.637744375,0.646026041,-0.203035436,4.442053248,30.0,1.137744375,11.88464501,1.701439576,4.337085558,6.442642598,0.211971241,0.95175464,0,0.014266961,1.139803515,0.507597055,5.61984736,0,1.528375885,4.932075375,1.963556945,120.0861196,3.68418372,0.177373784,21,0.464285714,0.027993367,0.248496328,0.044851224,1.81884333,22.85441736,0.0,0.20163853,5.94603622,540.6890829,13.84710503,6.775078752,7.099551186,1.28937038,4.161301011,-0.099494685,1.037744375,2.65415776,8.117334309,0.8732975,0.075,0.149646947,0,0.031345778,14.29951418,-0.043131398,2.01823086,0.605625327,4.91780656,26.74130193,8.418697945,0.1957936,8.61984736,480.1856571,3.00869497,1.708174706,19.10400602,0.62370949,1.571520674,0.0,0.0,1.746203704,0.047110508,0.144831561,0.418430023,0.0,0,1.052907592,7.649904505,0.063887735
10,Biq_py,1,1,3.988078245,16.60443494,4.248320042,4.864136423,-0.012248704,2593.022222,0,4.81366069,3.003669051,37.70885693,2.088447403,3.988512894,1.543225189,0.630243512,-0.115186788,4.308047642,34.0,0.9101955,11.88464501,1.411104374,4.337085558,6.016926997,0.129216172,1.111667716,0,0.016579083,1.092966224,0.427960487,5.715102099,0,1.516773469,5.641908489,1.820467874,148.514862,4.100631001,0.131223331,22,0.515151515,0.024810091,0.250767501,0.040073074,2.090354886,15.46982046,0.0,0.190277246,6.049718045,582.1979295,13.84003415,6.319079928,7.71105118,1.135297739,4.161301011,-0.100366635,0.8301955,2.857502254,7.867391906,0.824436,0.094736842,0.14349908,0,0.02484034,14.00054374,-0.031432226,2.024827487,0.593506494,5.257675709,28.13713116,8.482808765,0.199227486,8.715102099,530.9125125,2.975795885,1.626395819,18.61737984,0.660385184,1.416431258,0.0,0.0,1.567402263,0.025126365,0.122887385,0.417304694,0.0,0,1.091819754,7.649904505,0.045873451
